geo_code,geoid,name,total,Have electricity for everything-Female,Have electricity for everything-Male,Have electricity for some things-Female,Have electricity for some things-Male,No electricity-Female,No electricity-Male
NC065,municipality-NC065,Hantam,3445,1090,1164,415,390,170,216
NC066,municipality-NC066,Karoo Hoogland,1766,522,479,198,201,182,184
NC067,municipality-NC067,Khâi-Ma,2260,594,555,457,567,29,58
NC072,municipality-NC072,Umsobomvu,4868,747,815,1477,1438,196,195
NC073,municipality-NC073,Emthanjeni,7321,2478,2457,1045,1055,146,140
NC074,municipality-NC074,Kareeberg,1872,583,550,250,225,132,132
NC075,municipality-NC075,Renosterberg,1725,527,591,193,217,100,97
NC076,municipality-NC076,Thembelihle,2754,576,603,539,533,258,245
NC078,municipality-NC078,Siyancuma,6346,1770,1837,1026,986,363,364
NC081,municipality-NC081,Mier,1223,301,293,278,234,37,80
NC082,municipality-NC082,Kai !Garib,14202,4351,4852,1801,2244,469,485
NC083,municipality-NC083,//Khara Hais,17178,6147,6240,1906,1957,499,429
NC084,municipality-NC084,!Kheis,2615,675,657,308,311,321,343
NC086,municipality-NC086,Kgatelopele,3319,1267,1305,254,297,98,98
NC091,municipality-NC091,Sol Plaatjie,44775,15567,15322,4569,4663,2408,2246
NC092,municipality-NC092,Dikgatlong,8218,2363,2339,930,998,836,752
NC093,municipality-NC093,Magareng,4387,1519,1576,412,443,220,217
NC451,municipality-NC451,Joe Morolong,16220,2355,2322,5138,4585,926,894
NC452,municipality-NC452,Ga-Segonyana,17963,5497,5428,3025,3014,526,473
NC453,municipality-NC453,Gamagara,7516,2705,2858,611,729,217,396
CPT,municipality-CPT,City of Cape Town,684630,205972,199504,127285,120047,16369,15453
WC011,municipality-WC011,Matzikama,12188,3490,3508,2128,2145,451,466
WC013,municipality-WC013,Bergrivier,10632,3741,3455,1624,1362,205,245
WC014,municipality-WC014,Saldanha Bay,17815,6652,6537,2115,2185,149,177
WC015,municipality-WC015,Swartland,20480,6928,6659,3310,3262,153,168
WC022,municipality-WC022,Witzenberg,22253,6085,6568,3937,4275,516,872
WC023,municipality-WC023,Drakenstein,48637,16819,17555,6121,5967,1127,1048
WC025,municipality-WC025,Breede Valley,30755,10356,10515,3665,3545,1480,1194
WC026,municipality-WC026,Langeberg,17192,5983,5802,2283,2319,386,419
WC031,municipality-WC031,Theewaterskloof,19211,6293,6582,2120,2296,924,996
WC032,municipality-WC032,Overstrand,11665,2388,2179,2967,2970,585,576
WC034,municipality-WC034,Swellendam,6109,1958,2051,863,978,137,122
WC041,municipality-WC041,Kannaland,4239,1264,1278,621,657,216,203
WC042,municipality-WC042,Hessequa,7661,2459,2292,1271,1298,183,158
WC043,municipality-WC043,Mossel Bay,13875,3363,3257,3362,3114,387,392
