geo_code,geoid,name,total,Income-poor-0-14,Income-poor-15-24,Income-poor-25-34,Income-poor-35-44,Income-poor-45-54,Income-poor-55-64,Income-poor-65+,Non-poor-0-14,Non-poor-15-24,Non-poor-25-34,Non-poor-35-44,Non-poor-45-54,Non-poor-55-64,Non-poor-65+
MP314,municipality-MP314,Emakhazeni,38764,7381,4372,2944,2012,1438,955,868,3983,2999,4065,2850,2082,1471,1344
MP315,municipality-MP315,Thembisile,286537,76000,44074,27927,19230,14807,11317,9612,20214,14881,14510,12309,9799,6324,5533
MP316,municipality-MP316,Dr JS Moroka,230651,64065,36686,21157,14981,11245,10250,12878,14127,9750,8188,7358,7115,5475,7376
MP321,municipality-MP321,Thaba Chweu,80211,12931,7443,5185,3596,2418,1773,1577,9024,7152,10207,8028,5477,2987,2413
MP323,municipality-MP323,Umjindi,56403,10792,5945,4307,2934,1832,1082,956,6422,4830,5884,4525,3380,1965,1549
MP324,municipality-MP324,Nkomazi,341298,103472,60534,34485,21105,13476,8910,10396,23279,18167,17968,12488,7788,4415,4815
MP325,municipality-MP325,Bushbuckridge,498808,164295,92786,49994,32149,22005,16910,19933,27850,17616,15780,13996,10039,6274,9181
NW371,municipality-NW371,Moretele,161932,42810,23115,15362,10333,7753,6943,8221,10083,7506,7699,5561,5013,4831,6702
NW372,municipality-NW372,Madibeng,400887,67254,39033,30660,20290,14515,10287,9335,40478,34701,47653,32827,25325,15665,12864
NW374,municipality-NW374,Kgetlengrivier,41688,9254,4875,3706,2796,2081,1375,1076,2844,2505,3169,2674,2213,1679,1441
NW375,municipality-NW375,Moses Kotane,204944,44685,23386,15121,11081,9462,7859,9218,18472,12932,15445,11474,9978,6873,8958
NW381,municipality-NW381,Ratlou,93434,34371,15527,8094,6284,5645,4554,5451,2857,1820,1802,1630,1489,1558,2352
NW382,municipality-NW382,Tswaing,111105,34763,17867,10685,7792,7080,4724,4315,4855,3357,3764,3485,3190,2494,2734
NW383,municipality-NW383,Mafikeng,253759,58655,32705,20020,15904,11859,7990,7758,23808,18048,16886,15249,12288,6771,5818
NW385,municipality-NW385,Ramotshere Moiloa,132539,37213,18345,11669,9169,7291,6122,6583,7635,5116,5723,5089,4554,3628,4402
NW392,municipality-NW392,Naledi,58405,13055,6880,5205,3765,3059,1792,1335,5098,3554,4187,3776,2984,2113,1602
NW393,municipality-NW393,Mamusa,54059,17171,8359,5718,3746,3230,2189,1704,2582,1656,2146,1789,1417,1190,1162
NW394,municipality-NW394,Greater Taung,157314,52832,25543,13706,10172,8763,7732,9422,6483,4129,3691,3652,3566,3188,4435
NW397,municipality-NW397,Kagisano/Molopo,92212,32302,13834,8085,6229,5621,3954,4101,3416,2595,2968,2758,2402,1941,2006
NW401,municipality-NW401,Ventersdorp,48102,12386,6922,5396,3683,3015,2083,1802,2527,1892,2252,1907,1402,1346,1489
NW402,municipality-NW402,Tlokwe City Council,139405,21082,11892,9675,7312,5663,3573,2725,16110,13700,14219,12142,9439,6339,5534
NW403,municipality-NW403,City of Matlosana,339809,65953,36403,27138,20270,16618,9956,7247,33852,24093,29427,24577,19890,12785,11600
NW404,municipality-NW404,Maquassi Hills,68954,19410,10037,7698,5453,4265,2670,1957,3543,2471,2996,2514,2219,1873,1848
NC061,municipality-NC061,Richtersveld,10790,1260,671,515,578,439,281,251,1397,943,1232,1098,969,581,575
NC064,municipality-NC064,Kamiesberg,9254,1827,771,635,674,552,391,498,681,433,450,486,603,524,729
NC065,municipality-NC065,Hantam,19677,3559,1772,1194,1260,1102,668,617,1891,1361,1269,1315,1272,1086,1311
NC066,municipality-NC066,Karoo Hoogland,10812,2081,899,672,909,649,366,337,938,603,614,686,745,636,677
NC067,municipality-NC067,Khâi-Ma,11475,1887,871,646,625,472,333,450,1150,1158,1378,944,716,400,445
NC072,municipality-NC072,Umsobomvu,25843,5867,2993,2072,1414,1313,974,1440,2120,1369,1678,1413,1085,894,1211
NC073,municipality-NC073,Emthanjeni,39164,8301,3935,2572,2240,1980,1299,1583,4025,2690,2687,2431,2036,1657,1728
NC074,municipality-NC074,Kareeberg,10584,2444,1152,701,837,693,473,565,703,471,513,487,495,484,566
