,geo_level,geo_code,geoid,name,total,Do not know,Do not know-Female,Do not know-Male,Formal sector,Formal sector-Female,Formal sector-Male,Informal sector,Informal sector-Female,Informal sector-Male,Private household,Private household-Female,Private household-Male,province
135,municipality,EC128,municipality-EC128,Nxuba,508,1,0,1,307,115,192,126,26,100,74,14,60,Eastern Cape
136,municipality,EC135,municipality-EC135,Intsika Yethu,1494,47,17,30,922,378,544,320,117,203,205,99,106,Eastern Cape
137,municipality,EC144,municipality-EC144,Gariep,1244,16,6,10,702,260,442,313,93,220,213,44,169,Eastern Cape
138,municipality,EC157,municipality-EC157,King Sabata Dalindyebo,8135,148,69,79,5417,2759,2658,1359,642,717,1211,758,453,Eastern Cape
139,municipality,NMA,municipality-NMA,Nelson Mandela Bay,30783,909,380,529,24428,11366,13062,3031,1171,1860,2415,1072,1343,Eastern Cape
140,municipality,FS164,municipality-FS164,Naledi,608,6,2,4,345,174,171,114,32,82,143,38,105,Free State
141,municipality,FS191,municipality-FS191,Setsoto,2447,88,30,58,1564,593,971,370,100,270,425,152,273,Free State
142,municipality,FS196,municipality-FS196,Mantsopa,1533,55,21,34,959,353,606,324,112,212,195,65,130,Free State
143,municipality,MAN,municipality-MAN,Mangaung,25022,839,340,499,17092,7455,9637,3648,1308,2340,3443,1304,2139,Free State
144,municipality,EKU,municipality-EKU,Ekurhuleni,134583,4019,1536,2483,106734,44122,62612,12625,4074,8551,11205,4536,6669,Gauteng
145,municipality,GT422,municipality-GT422,Midvaal,4866,197,78,119,3383,1356,2027,500,170,330,786,218,568,Gauteng
146,municipality,GT484,municipality-GT484,Merafong City,7062,135,38,97,5509,1956,3553,804,216,588,614,203,411,Gauteng
147,municipality,JHB,municipality-JHB,City of Johannesburg,209263,5582,2151,3431,164014,73876,90138,18599,6570,12029,21068,9450,11618,Gauteng
148,municipality,TSH,municipality-TSH,City of Tshwane,124168,3683,1532,2151,93810,42591,51219,13630,4909,8721,13045,5703,7342,Gauteng
149,municipality,ETH,municipality-ETH,eThekwini,139920,3894,1533,2361,113882,51726,62156,12146,4667,7479,9998,4881,5117,KwaZulu-Natal
150,municipality,KZN216,municipality-KZN216,Hibiscus Coast,8279,173,79,94,5980,2819,3161,1330,558,772,796,416,380,KwaZulu-Natal
151,municipality,KZN227,municipality-KZN227,Richmond,2222,90,36,54,1402,616,786,580,179,401,150,52,98,KwaZulu-Natal
152,municipality,KZN241,municipality-KZN241,Endumeni,2074,38,11,27,1577,630,947,228,63,165,231,94,137,KwaZulu-Natal
153,municipality,KZN253,municipality-KZN253,Emadlangeni,810,8,2,6,436,217,219,309,74,235,57,8,49,KwaZulu-Natal
154,municipality,KZN271,municipality-KZN271,Umhlabuyalingana,1702,43,23,20,1272,677,595,270,120,150,117,54,63,KwaZulu-Natal
155,municipality,KZN282,municipality-KZN282,uMhlathuze,11114,224,94,130,8613,3929,4684,1357,534,823,920,524,396,KwaZulu-Natal
156,municipality,KZN292,municipality-KZN292,KwaDukuza,11322,217,83,134,7589,3143,4446,2552,877,1675,964,447,517,KwaZulu-Natal
157,municipality,KZN433,municipality-KZN433,Greater Kokstad,2784,41,11,30,1927,846,1081,466,186,280,350,148,202,KwaZulu-Natal
