,Unnamed: 0,Name,Code,Province
261,277,Nxuba Local Municipality,EC128,Eastern Cape
262,278,Tsolwana Local Municipality,EC132,Eastern Cape
263,279,Inkwanca Local Municipality,EC133,Eastern Cape
264,280,Lukhanji Local Municipality,EC134,Eastern Cape
265,281,Maletswai Local Municipality,EC143,Eastern Cape
266,282,Gariep Local Municipality,EC144,Eastern Cape
267,283,Motheo District Municipality,DC17,Free State
268,284,Naledi Local Municipality,FS164,Free State
269,285,Metsweding District Municipality,DC46,Gauteng
270,286,Nokeng tsa Taemane Local Municipality,GT461,Gauteng
271,287,Kungwini Local Municipality,GT462,Gauteng
272,288,Randfontein Local Municipality,GT482,Gauteng
273,289,Westonaria Local Municipality,GT483,Gauteng
274,290,Ezinqoleni Local Municipality,KZN215,KwaZulu-Natal
275,291,Hibiscus Coast Local Municipality,KZN216,KwaZulu-Natal
276,292,Vulamehlo Local Municipality,KZN211,KwaZulu-Natal
277,293,Emnambithi/Ladysmith Local Municipality,KZN232,KwaZulu-Natal
278,294,Indaka Local Municipality,KZN233,KwaZulu-Natal
279,295,Umtshezi Local Municipality,KZN234,KwaZulu-Natal
280,296,Imbabazane Local Municipality,KZN236,KwaZulu-Natal
281,297,Big 5 False Bay Local Municipality,KZN273,KwaZulu-Natal
282,298,Hlabisa Local Municipality,KZN274,KwaZulu-Natal
283,299,Ntambanana Local Municipality,KZN283,KwaZulu-Natal
284,300,Ingwe Local Municipality,KZN431,KwaZulu-Natal
285,301,Kwa Sani Local Municipality,KZN432,KwaZulu-Natal
286,302,Bohlabela District Municipality,CBDC4,Mpumalanga/Limpopo
287,303,Mutale Local Municipality,LIM342,Limpopo
288,304,Aganang Local Municipality,LIM352,Limpopo
289,305,Mookgopong Local Municipality,LIM364,Limpopo
290,306,Modimolle Local Municipality,LIM365,Limpopo
291,307,Fetakgomo Local Municipality,LIM474,Limpopo
292,308,Greater Tubatse Local Municipality,LIM475,Limpopo
293,309,Umjindi Local Municipality,MP323,Mpumalanga
294,310,Kagisano Local Municipality,NW391,North West
295,311,Molopo Local Municipality,NW395,North West
296,312,Ventersdorp Local Municipality,NW401,North West
297,313,Tlokwe Local Municipality,NW402,North West
298,314,Mier Local Municipality,NC081,Northern Cape
299,315,//Khara Hais Local Municipality,NC083,Northern Cape
