geo_level,geo_code,geoid,name,total,Any tertiary,Any tertiary-Female,Any tertiary-Male,Grade 10/11,Grade 10/11-Female,Grade 10/11-Male,Grade 9,Grade 9-Female,Grade 9-Male,Less than Grade9,Less than Grade9-Female,Less than Grade9-Male,Matric/matric equivalent,Matric/matric equivalent-Female,Matric/matric equivalent-Male
municipality,KZN241,municipality-KZN241,Endumeni,5886,226,134,92,1698,818,880,331,159,172,817,348,469,2814,1484,1330
municipality,KZN253,municipality-KZN253,Emadlangeni,2821,43,21,22,953,466,487,272,110,162,566,229,337,987,520,467
municipality,KZN271,municipality-KZN271,Umhlabuyalingana,13823,196,129,67,4659,2430,2229,883,409,474,2409,1283,1126,5676,3233,2443
municipality,KZN282,municipality-KZN282,uMhlathuze,35578,2597,1522,1075,8732,4499,4233,1343,631,712,3032,1488,1544,19874,10692,9182
municipality,KZN292,municipality-KZN292,KwaDukuza,24063,887,501,386,6791,3363,3428,1847,877,970,4721,2245,2476,9817,5118,4699
municipality,KZN433,municipality-KZN433,Greater Kokstad,6840,287,167,120,2034,1048,986,593,293,300,1315,604,711,2611,1464,1147
municipality,LIM334,municipality-LIM334,Ba-Phalaborwa,15453,900,521,379,5720,2790,2930,1398,655,743,2445,1207,1238,4990,2639,2351
municipality,LIM352,municipality-LIM352,Aganang,10462,399,257,142,4329,2084,2245,794,320,474,752,321,431,4188,2494,1694
municipality,LIM364,municipality-LIM364,Mookgopong,3741,81,57,24,1304,563,741,344,140,204,936,423,513,1076,570,506
municipality,LIM367,municipality-LIM367,Mogalakwena,28206,1048,658,390,11952,6214,5738,2464,1068,1396,3210,1413,1797,9532,5361,4171
municipality,LIM471,municipality-LIM471,Ephraim Mogale,11491,253,144,109,4509,2302,2207,1177,534,643,2328,975,1353,3224,1888,1336
municipality,LIM472,municipality-LIM472,Elias Motsoaledi,23358,839,526,313,9742,4892,4850,2256,943,1313,3187,1337,1850,7334,4244,3090
municipality,LIM473,municipality-LIM473,Makhuduthamaga,23068,574,367,207,10617,5576,5041,2232,939,1293,2463,1019,1444,7182,4406,2776
municipality,LIM474,municipality-LIM474,Fetakgomo,8236,233,156,77,3721,1889,1832,674,294,380,827,339,488,2781,1662,1119
municipality,LIM475,municipality-LIM475,Greater Tubatse,34511,1376,791,585,15851,8310,7541,3183,1453,1730,3681,1604,2077,10420,5779,4641
municipality,MP301,municipality-MP301,Albert Luthuli,17738,423,236,187,5778,2963,2815,1036,472,564,1957,937,1020,8544,4771,3773
municipality,MP302,municipality-MP302,Msukaligwa,14538,600,353,247,4414,2264,2150,837,405,432,1819,816,1003,6868,3545,3323
municipality,MP304,municipality-MP304,Pixley Ka Seme,7202,228,121,107,2301,1195,1106,479,235,244,1111,525,586,3083,1655,1428
municipality,MP305,municipality-MP305,Lekwa,10565,506,285,221,3479,1642,1837,687,306,381,1490,644,846,4403,2226,2177
municipality,MP306,municipality-MP306,Dipaleseng,4021,101,51,50,1363,664,699,280,127,153,714,344,370,1563,784,779
municipality,MP307,municipality-MP307,Govan Mbeki,30583,1571,806,765,9215,4374,4841,1762,702,1060,3661,1528,2133,14374,6881,7493
municipality,MP312,municipality-MP312,Emalahleni,42651,3131,1703,1428,12896,5840,7056,2364,962,1402,4578,1736,2842,19682,9710,9972
municipality,MP313,municipality-MP313,Steve Tshwete,22618,1524,828,696,5882,2697,3185,1162,443,719,2267,857,1410,11783,5829,5954
municipality,MP314,municipality-MP314,Emakhazeni,4400,117,67,50,1357,696,661,365,165,200,677,258,419,1884,972,912
municipality,MP315,municipality-MP315,Thembisile,30287,869,465,404,10191,4981,5210,2351,988,1363,4150,1584,2566,12726,7321,5405
municipality,MP316,municipality-MP316,Dr JS Moroka,23102,826,503,323,7768,3689,4079,1815,739,1076,3164,1210,1954,9529,5523,4006
municipality,MP321,municipality-MP321,Thaba Chweu,9005,394,222,172,2624,1254,1370,563,198,365,1334,507,827,4090,2103,1987
municipality,MP323,municipality-MP323,Umjindi,6114,209,122,87,1920,938,982,407,191,216,896,434,462,2682,1391,1291
municipality,MP324,municipality-MP324,Nkomazi,41664,1168,702,466,12590,6444,6146,2643,1207,1436,8559,4206,4353,16704,9348,7356
municipality,MP325,municipality-MP325,Bushbuckridge,54776,1526,946,580,19981,10023,9958,3380,1561,1819,6425,3080,3345,23464,13455,10009
municipality,NW371,municipality-NW371,Moretele,16492,588,316,272,5356,2506,2850,1124,485,639,2035,855,1180,7389,4151,3238
municipality,NW372,municipality-NW372,Madibeng,49485,1921,1046,875,15400,7080,8320,3508,1470,2038,9004,3658,5346,19652,10204,9448
municipality,NW374,municipality-NW374,Kgetlengrivier,4709,125,77,48,1330,600,730,375,164,211,1477,662,815,1402,698,704
municipality,NW375,municipality-NW375,Moses Kotane,21207,662,399,263,6731,3300,3431,1271,548,723,2735,1171,1564,9808,5300,4508
municipality,NW381,municipality-NW381,Ratlou,8021,126,71,55,2611,1507,1104,811,427,384,2734,1322,1412,1739,1006,733
municipality,NW382,municipality-NW382,Tswaing,10829,184,108,76,3302,1741,1561,1238,611,627,3532,1749,1783,2573,1434,1139
municipality,NW383,municipality-NW383,Mafikeng,27131,1937,1126,811,7782,3915,3867,1839,820,1019,4179,1937,2242,11394,6292,5102
municipality,NW385,municipality-NW385,Ramotshere Moiloa,12091,373,224,149,3868,1979,1889,871,374,497,2705,1191,1514,4274,2376,1898
municipality,NW392,municipality-NW392,Naledi,5805,241,119,122,1532,815,717,535,267,268,1728,829,899,1769,937,832
municipality,NW393,municipality-NW393,Mamusa,5385,71,46,25,1744,912,832,530,291,239,1598,773,825,1442,777,665
municipality,NW394,municipality-NW394,Greater Taung,13710,279,155,124,4827,2614,2213,1472,730,742,3055,1461,1594,4077,2401,1676
municipality,NW397,municipality-NW397,Kagisano/Molopo,7710,117,78,39,2348,1304,1044,746,398,348,2486,1255,1231,2013,1190,823
municipality,NW401,municipality-NW401,Ventersdorp,5382,97,56,41,1880,974,906,554,255,299,1607,816,791,1244,671,573
municipality,NW402,municipality-NW402,Tlokwe City Council,18971,1975,1092,883,4363,2122,2241,965,441,524,2068,916,1152,9600,5086,4514
municipality,NW403,municipality-NW403,City of Matlosana,36463,1468,822,646,12026,6147,5879,3009,1436,1573,5860,2661,3199,14100,7396,6704
municipality,NW404,municipality-NW404,Maquassi Hills,7331,110,59,51,2168,1083,1085,775,405,370,2362,1131,1231,1916,1036,880
municipality,NC061,municipality-NC061,Richtersveld,842,36,26,10,194,94,100,119,52,67,195,70,125,298,172,126
municipality,NC064,municipality-NC064,Kamiesberg,653,18,13,5,137,76,61,122,55,67,195,79,116,181,101,80
municipality,NC065,municipality-NC065,Hantam,1554,53,35,18,338,175,163,193,95,98,437,192,245,533,281,252
municipality,NC066,municipality-NC066,Karoo Hoogland,708,20,9,11,139,79,60,133,75,58,214,111,103,202,100,102
municipality,NC067,municipality-NC067,Khâi-Ma,1228,39,25,14,395,187,208,174,86,88,301,127,174,319,156,163
municipality,NC072,municipality-NC072,Umsobomvu,2195,41,28,13,662,345,317,187,107,80,430,208,222,875,456,419
