geo_level,geo_code,geoid,name,total,Income-poor,Income-poor-Black African,Income-poor-Black African-Female,Income-poor-Black African-Male,Income-poor-Coloured,Income-poor-Coloured-Female,Income-poor-Coloured-Male,Income-poor-Indian or Asian,Income-poor-Indian or Asian-Female,Income-poor-Indian or Asian-Male,Income-poor-Other,Income-poor-Other-Female,Income-poor-Other-Male,Income-poor-White,Income-poor-White-Female,Income-poor-White-Male,Non-poor,Non-poor-Black African,Non-poor-Black African-Female,Non-poor-Black African-Male,Non-poor-Coloured,Non-poor-Coloured-Female,Non-poor-Coloured-Male,Non-poor-Indian or Asian,Non-poor-Indian or Asian-Female,Non-poor-Indian or Asian-Male,Non-poor-Other,Non-poor-Other-Female,Non-poor-Other-Male,Non-poor-White,Non-poor-White-Female,Non-poor-White-Male
municipality,NW392,municipality-NW392,Naledi,10436,6880,5879,3198,2681,929,502,427,14,4,10,38,16,22,20,10,10,3556,2190,950,1240,674,360,314,93,51,42,43,18,25,556,249,307
municipality,NW393,municipality-NW393,Mamusa,10012,8358,8117,4279,3838,197,92,105,7,4,3,9,3,6,28,8,20,1654,1271,567,704,49,24,25,39,7,32,8,4,4,287,148,139
municipality,NW394,municipality-NW394,Greater Taung,29671,25543,25236,13602,11634,255,136,119,29,10,19,16,12,4,7,1,6,4128,3959,1873,2086,65,32,33,31,1,30,31,6,25,42,8,34
municipality,NW397,municipality-NW397,Kagisano/Molopo,16429,13834,13584,7530,6054,186,109,77,13,3,10,20,13,7,31,14,17,2595,2273,931,1342,87,33,54,31,0,31,27,6,21,177,85,92
municipality,NW401,municipality-NW401,Ventersdorp,8814,6923,6571,3486,3085,217,113,104,8,1,7,95,53,42,32,22,10,1891,1494,675,819,80,34,46,24,4,20,35,6,29,258,120,138
municipality,NW402,municipality-NW402,Tlokwe City Council,25590,11892,10589,5565,5024,836,455,381,45,22,23,18,6,12,404,220,184,13698,8055,3896,4159,985,522,463,227,100,127,98,26,72,4333,2227,2106
municipality,NW403,municipality-NW403,City of Matlosana,60497,36403,34686,18249,16437,1097,552,545,124,50,74,45,15,30,451,235,216,24094,17134,8290,8844,1067,541,526,421,138,283,118,33,85,5354,2618,2736
municipality,NW404,municipality-NW404,Maquassi Hills,12508,10038,9655,5156,4499,301,154,147,17,7,10,18,6,12,47,20,27,2470,1804,788,1016,54,26,28,47,9,38,14,3,11,551,292,259
municipality,NC061,municipality-NC061,Richtersveld,1612,669,82,46,36,574,273,301,2,2,0,9,3,6,2,1,1,943,82,41,41,786,351,435,4,2,2,8,2,6,63,38,25
municipality,NC064,municipality-NC064,Kamiesberg,1202,770,35,20,15,731,367,364,2,0,2,0,0,0,2,1,1,432,17,5,12,382,160,222,4,2,2,7,2,5,22,10,12
municipality,NC065,municipality-NC065,Hantam,3132,1771,62,31,31,1692,891,801,6,5,1,2,0,2,9,5,4,1361,31,16,15,1179,531,648,12,6,6,8,1,7,131,62,69
municipality,NC066,municipality-NC066,Karoo Hoogland,1502,898,19,14,5,854,465,389,8,7,1,4,2,2,13,4,9,604,25,9,16,506,241,265,12,5,7,2,1,1,59,24,35
municipality,NC067,municipality-NC067,Khâi-Ma,2028,870,84,37,47,778,403,375,3,2,1,1,0,1,4,0,4,1158,479,201,278,598,269,329,4,0,4,18,9,9,59,23,36
municipality,NC072,municipality-NC072,Umsobomvu,4363,2994,2020,1051,969,935,495,440,10,5,5,15,6,9,14,5,9,1369,824,385,439,428,216,212,8,1,7,22,7,15,87,45,42
municipality,NC073,municipality-NC073,Emthanjeni,6622,3933,1273,660,613,2615,1397,1218,19,10,9,7,2,5,19,9,10,2689,908,433,475,1453,734,719,19,3,16,22,3,19,287,165,122
municipality,NC074,municipality-NC074,Kareeberg,1620,1150,30,15,15,1110,638,472,4,1,3,2,0,2,4,1,3,470,19,5,14,393,172,221,1,0,1,2,0,2,55,25,30
municipality,NC075,municipality-NC075,Renosterberg,1587,1074,372,166,206,693,349,344,4,3,1,0,0,0,5,4,1,513,184,88,96,276,130,146,4,1,3,2,1,1,47,21,26
municipality,NC076,municipality-NC076,Thembelihle,2495,1520,221,121,100,1278,677,601,3,0,3,0,0,0,18,9,9,975,171,83,88,627,296,331,7,0,7,12,2,10,158,76,82
municipality,NC078,municipality-NC078,Siyancuma,5512,3944,1326,711,615,2552,1336,1216,16,9,7,42,27,15,8,3,5,1568,453,211,242,805,371,434,20,8,12,42,7,35,248,134,114
municipality,NC081,municipality-NC081,Mier,1059,731,19,10,9,703,383,320,4,3,1,1,0,1,4,3,1,328,11,1,10,304,134,170,4,3,1,2,0,2,7,1,6
municipality,NC082,municipality-NC082,Kai !Garib,12712,5356,755,376,379,4446,2272,2174,45,21,24,80,35,45,30,16,14,7356,4439,1791,2648,2375,1141,1234,30,10,20,220,81,139,292,136,156
municipality,NC083,municipality-NC083,//Khara Hais,15225,8513,2002,1034,968,6359,3334,3025,39,17,22,71,30,41,42,22,20,6712,1473,674,799,4306,2148,2158,57,14,43,91,19,72,785,399,386
municipality,NC084,municipality-NC084,!Kheis,2343,1618,65,33,32,1514,803,711,15,5,10,19,9,10,5,0,5,725,101,32,69,540,251,289,7,0,7,11,1,10,66,34,32
