,mun_code,mun_name,province,Adult_emp,overcrowding,empSector,difficulty,typeDwelling,circumstance_measure
89,KZN242,Nqutu,KwaZulu-Natal,0.21218750911583675,0.7658051346922347,0.6858580212409167,0.9061002178649238,0.6095967300883682,0.6359095226004561
90,KZN244,Msinga,KwaZulu-Natal,0.17555010831148102,0.6295397489539749,0.8387329013678906,0.903378961647552,0.3120930102568402,0.5718589461075477
91,KZN245,Umvoti,KwaZulu-Natal,0.3953488372093023,0.7896394650125993,0.5887009715725081,0.8903222381483251,0.4583736221233804,0.624477026813223
92,KZN252,Newcastle,KwaZulu-Natal,0.4848191344821556,0.8603546291283162,0.7424541979702122,0.891625544893467,0.9272441452698618,0.7812995303488026
93,KZN254,Dannhauser,KwaZulu-Natal,0.3931744464814554,0.7644518735199889,0.6232166018158236,0.8904811148864924,0.8245434691696483,0.6991735011746818
94,KZN261,eDumbe,KwaZulu-Natal,0.3696067885741604,0.808107787274454,0.6113074204946997,0.9052101719291364,0.6971421795327879,0.6782748695610478
95,KZN262,UPhongolo,KwaZulu-Natal,0.3822561394625484,0.7642787117388621,0.5925088795608654,0.8897865199235062,0.8104975160198719,0.6878655533411309
96,KZN263,Abaqulusi,KwaZulu-Natal,0.3580417910447761,0.8023758891251742,0.7615842609370955,0.8926561000285351,0.7565550379277544,0.7142426158126671
97,KZN265,Nongoma,KwaZulu-Natal,0.24783089186202356,0.6691333428205493,0.8307622504537205,0.8785620341955283,0.6208201008780123,0.6494217240419669
98,KZN266,Ulundi,KwaZulu-Natal,0.2679045770331018,0.7511339346228039,0.7746062992125984,0.901056458025673,0.5972377268361069,0.6583877991460568
99,KZN272,Jozini,KwaZulu-Natal,0.26534260665132,0.7365428078446621,0.7870508982035929,0.8840148897994162,0.7723211042499092,0.6890544613497801
100,KZN273,The Big 5 False Bay,KwaZulu-Natal,0.3159109421667119,0.7370552502169511,0.6633221850613155,0.9039694656488549,0.7687356979405034,0.6777987082068675
101,KZN274,Hlabisa,KwaZulu-Natal,0.2726058756199924,0.6011399620012666,0.788826815642458,0.8894863449837271,0.629683729201067,0.6363485454897023
102,KZN275,Mtubatuba,KwaZulu-Natal,0.351854367613096,0.6872587936927996,0.6601529311809685,0.8954905642363874,0.807499727876347,0.6804512769199198
103,KZN281,Mfolozi,KwaZulu-Natal,0.43262193953791334,0.6572917464939843,0.7505376344086021,0.9166555362628557,0.7179477295505358,0.6950109172507783
104,KZN283,Ntambanana,KwaZulu-Natal,0.3531724095571525,0.5114294422432185,0.8130929791271347,0.9056616832779624,0.5117600342110086,0.6190233096832953
105,KZN284,uMlalazi,KwaZulu-Natal,0.3116472881242019,0.635066589461494,0.7190426638917794,0.8784201345626713,0.553382675810869,0.6195118703702032
106,KZN285,Mthonjaneni,KwaZulu-Natal,0.38086774699424986,0.6365496446263192,0.8016164584864071,0.9028130043809085,0.445198105081826,0.6334089919139422
107,KZN286,Nkandla,KwaZulu-Natal,0.21356360572872787,0.6688145947529185,0.8523676880222841,0.8748572211815233,0.2629398719611699,0.5745085963293247
108,KZN291,Mandeni,KwaZulu-Natal,0.5487279299318782,0.830249396621078,0.7979029605263158,0.8890270921599875,0.60213627478358,0.733608730804568
109,KZN293,Ndwedwe,KwaZulu-Natal,0.25892456799917224,0.6586005037097543,0.6354051054384018,0.8626511521788729,0.44752246120337597,0.5726207581059155
110,KZN294,Maphumulo,KwaZulu-Natal,0.2118534696713988,0.7554342528511551,0.8580413297394429,0.8987307145201882,0.4013273472574663,0.6250774228079303
111,KZN431,Ingwe,KwaZulu-Natal,0.3167179787909886,0.7121034651049293,0.6247606892150607,0.8801561346133558,0.2199854121079504,0.550744735966457
112,KZN432,Kwa Sani,KwaZulu-Natal,0.7038703870387039,0.850597609561753,0.6319290465631929,0.8883564925730714,0.49538866930171277,0.7140284410076868
113,KZN434,Ubuhlebezwe,Limpopo,0.3600213374715096,0.7429043545878694,0.7444326617179216,0.9020364982808781,0.2518662142510906,0.600252213261854
114,KZN435,Umzimkhulu,Limpopo,0.270461981416045,0.8536824455049659,0.7658491439148543,0.903510966558252,0.2980774173649309,0.6183163909518097
115,LIM331,Greater Giyani,Limpopo,0.31905470585071094,0.871821977905809,0.7287054409005629,0.9519385051681033,0.8984662630210605,0.7539973785692493
116,LIM332,Greater Letaba,Limpopo,0.3164711987545407,0.9189888372850974,0.5907845579078456,0.9478189796093952,0.9368755952742821,0.7421878337662322
117,LIM333,Greater Tzaneen,Limpopo,0.44027926827764,0.8990963304430541,0.6261550308008214,0.9380207458695567,0.9416960272141902,0.7690494805210526
118,LIM335,Maruleng,Limpopo,0.31316232544320094,0.9269972451790633,0.6082406801831263,0.9330301777594047,0.9768613638587222,0.7516583584847035
119,LIM341,Musina,Limpopo,0.6966097695272556,0.776832794692975,0.5793186857488409,0.946943195069132,0.7716568195057003,0.7542722529087809
120,LIM342,Mutale,Limpopo,0.3304677623261694,0.8743795910264046,0.6103626943005181,0.9526762912388597,0.9047736341691709,0.7345319946122246
121,LIM343,Thulamela,Limpopo,0.37462572951027656,0.8691750652164616,0.5528705126414304,0.9193249872099671,0.8710969058721812,0.7174186400900635
122,LIM344,Makhado,Limpopo,0.4156530886344638,0.8970109527298358,0.5691106502378919,0.9359223870671192,0.9359099354316514,0.7507214028201925
123,LIM351,Blouberg,Limpopo,0.23768602566656233,0.8928194590992392,0.4762301918265221,0.951917438724053,0.9485074626865672,0.7014321156005887
124,LIM353,Molemole,Limpopo,0.3328426185766205,0.9194055316091954,0.5095213587236233,0.9217978820259716,0.9674455940064217,0.7302025969883665
125,LIM354,Polokwane,Limpopo,0.5509347311778077,0.9163710362787216,0.7010526315789474,0.9226018836945246,0.9276995885091369,0.8037319742478277
126,LIM355,Lepele-Nkumpi,Limpopo,0.3323957679742097,0.9270707199456164,0.6724207145724609,0.9437316015370442,0.9553731563733041,0.7661983920805272
127,LIM361,Thabazimbi,Limpopo,0.7653956666925527,0.868668758404303,0.6918449197860963,0.9173671822461331,0.7380972587626241,0.7962747571783418
128,LIM362,Lephalale,Limpopo,0.6229604519774011,0.907632428327321,0.6788702928870293,0.9314011069035829,0.8736014231543467,0.8028931406499362
129,LIM365,Modimolle,Eastern Cape,0.665659452837893,0.9081818972263281,0.6937565399372166,0.9106988783433995,0.895606748308641,0.8147807033306956
130,LIM366,Bela-Bela,Eastern Cape,0.7104910115374296,0.859915378955114,0.6041033434650456,0.9166264129069654,0.8553636363636363,0.7892999566456382
131,BUF,Buffalo City,Eastern Cape,0.586195900447925,0.8010389290090868,0.7326277528330126,0.9088704088704089,0.7640234593467056,0.7585512901014279
132,EC101,Camdeboo,Eastern Cape,0.6854740433828905,0.8178429423459245,0.6603988603988604,0.9308334437524844,0.9626747720364741,0.8114448123833267
133,EC105,Ndlambe,Eastern Cape,0.5991310797923068,0.849371939535874,0.6837455830388692,0.9040745052386496,0.8416447021613074,0.7755935619534015
134,EC122,Mnquma,Eastern Cape,0.2762254849882073,0.5987401445128353,0.6496674057649667,0.8846382819218134,0.4804628302273193,0.5779468294830284
135,EC128,Nxuba,Eastern Cape,0.5180817610062893,0.8432816197738627,0.6043307086614174,0.9141343741287984,0.8974624546866908,0.7554581836514118
136,EC135,Intsika Yethu,Eastern Cape,0.22427211314344409,0.4770181092694905,0.6171352074966533,0.8998301520543514,0.29699305502556667,0.5030497273979012
137,EC144,Gariep,Eastern Cape,0.6059811122770199,0.8264058679706602,0.5643086816720257,0.8907254361799817,0.9661693268563497,0.7707180849912074
138,EC157,King Sabata Dalindyebo,Eastern Cape,0.3567136926074405,0.6422187308160526,0.6658881376767056,0.9099496565506546,0.5293566167001493,0.6208253668702005
139,NMA,Nelson Mandela Bay,Free State,0.6247601878006691,0.9073530939180066,0.7935548841893253,0.9139835925847006,0.8960184158085385,0.8271340348602481
140,FS164,Naledi,Free State,0.4468130462587934,0.8593453009503695,0.5674342105263158,0.8597265108072343,0.844607329842932,0.7155852796771289
141,FS191,Setsoto,Free State,0.47406133562625397,0.857339340763576,0.6391499795668165,0.8600029807740077,0.6972809952405636,0.7055669263942437
142,FS196,Mantsopa,Free State,0.5709006440713758,0.8398073500157052,0.6255707762557078,0.8486623922175547,0.82733139050791,0.7424545106136508
143,MAN,Mangaung,Gauteng,0.6353895501782391,0.8835712920556944,0.6830788905762929,0.857162930696584,0.8722577601398699,0.7862920847293361
144,EKU,Ekurhuleni,Gauteng,0.736230857403228,0.8583100802731924,0.793071933305098,0.9104901714812502,0.8187280458495101,0.8233662176624558
145,GT422,Midvaal,Gauteng,0.8185710462938186,0.9005062579102798,0.6952322235922729,0.9007133926601456,0.8212893963218705,0.8272624633556775
146,GT484,Merafong City,Gauteng,0.7194316529326223,0.8673138128580522,0.7800906258850184,0.88551386407253,0.7947296287067032,0.8094159168909854
147,JHB,City of Johannesburg,Gauteng,0.7462882107500537,0.8336633895233871,0.7837697060636615,0.915684564558697,0.8397704588058992,0.8238352659403397
148,TSH,City of Tshwane,KwaZulu-Natal,0.7335734004142784,0.9035375922427749,0.7555086656787579,0.910642517657862,0.8319599113530511,0.8270444174693449
149,ETH,eThekwini,KwaZulu-Natal,0.6700524364429676,0.8365389556412001,0.8139079473985135,0.9033632805390169,0.8091306738689119,0.806598658778122
150,KZN216,Hibiscus Coast,KwaZulu-Natal,0.6433799476611056,0.8269682542982474,0.722309457663969,0.9059272461383786,0.8204126931930286,0.7837995197909459
151,KZN227,Richmond,KwaZulu-Natal,0.5285140562248996,0.8379861223172503,0.630963096309631,0.8595361961026364,0.45900192554557123,0.6632002792999976
152,KZN241,Endumeni,KwaZulu-Natal,0.6248294679399727,0.8095390781563127,0.7603664416586307,0.8989010989010989,0.8491923876539261,0.7885656948619882
153,KZN253,Emadlangeni,KwaZulu-Natal,0.5731764705882353,0.7518927444794953,0.5382716049382716,0.8988482724086129,0.4749058971141782,0.6474189979057586
154,KZN271,Umhlabuyalingana,KwaZulu-Natal,0.2550292805777225,0.727483304253655,0.7473560517038778,0.9122948962749604,0.6032151442307693,0.649075735408197
155,KZN282,uMhlathuze,KwaZulu-Natal,0.6295274383567643,0.8166716417910448,0.7749685081878711,0.9095614902736564,0.8715923906601872,0.8004642938539048
156,KZN292,KwaDukuza,KwaZulu-Natal,0.6976012757757647,0.7892872550577871,0.6702879349938173,0.8939448226442135,0.8028931883024251,0.7708028953548016
157,KZN433,Greater Kokstad,KwaZulu-Natal,0.6384878702187825,0.6754025892011367,0.6921695402298851,0.921455938697318,0.847889089057727,0.7550810054809699
158,LIM334,Ba-Phalaborwa,Limpopo,0.5728237076948981,0.8909830007390983,0.7384515289525049,0.9441364758055864,0.9745099351040343,0.8241809296592244
159,LIM352,Aganang,Limpopo,0.2910461899890114,0.9316289262235208,0.6221616712079927,0.9175887951713998,0.9733595370673654,0.7471570239318581
160,LIM364,Mookgopong,Limpopo,0.6621890547263681,0.8934562211981567,0.4425087108013937,0.9370037056643727,0.8988947273056713,0.7668104839391925
161,LIM367,Mogalakwena,Limpopo,0.4090017997171873,0.9051153809629324,0.7021835826930853,0.908456698432832,0.9458789571110344,0.7741272837834143
162,LIM471,Ephraim Mogale,Limpopo,0.3321466138037058,0.8981488901354275,0.6675929142063216,0.9185557272883393,0.9393879173290938,0.7511664125525777
163,LIM472,Elias Motsoaledi,Limpopo,0.3394722965451243,0.9188153650669534,0.6536009445100354,0.9100371130600651,0.922038048230699,0.7487927534825755
164,LIM473,Makhuduthamaga,Limpopo,0.22499228857075462,0.9100110678710415,0.686491935483871,0.9339372983832023,0.9147577719285765,0.7340380724474892
165,LIM474,Fetakgomo,Limpopo,0.302897324733002,0.9338769536354607,0.7024128686327078,0.9398784961027051,0.9572872174184811,0.7672705721044714
166,LIM475,Greater Tubatse,Limpopo,0.40865063222723197,0.9137448699924736,0.6967122275581825,0.9392905034743386,0.8782086678276628,0.7673213802159778
167,MP301,Albert Luthuli,Mpumalanga,0.43722347851735327,0.924464377117508,0.6800289785076069,0.897972197423798,0.7706657621862584,0.7420709587505049
168,MP302,Msukaligwa,Mpumalanga,0.677432974456407,0.8990059069298372,0.6950701926216128,0.8803820610402209,0.7461524727727191,0.7796087215641595
169,MP304,Pixley Ka Seme,Mpumalanga,0.465074703103052,0.8601705702647657,0.7184897279289284,0.8949685108688291,0.721536523929471,0.7320480072190092
170,MP305,Lekwa,Mpumalanga,0.7239153644569543,0.9148715415019762,0.710876548875631,0.8850430696945967,0.7357982370225269,0.7941009523103371
171,MP306,Dipaleseng,Mpumalanga,0.6193573068094874,0.9213225371120108,0.7846153846153846,0.8811486672162682,0.676213407679635,0.7765314606865572
172,MP307,Govan Mbeki,Mpumalanga,0.7482921420651668,0.8995198124621899,0.7845466929014682,0.8861063192750778,0.7365919019125583,0.8110113737232922
173,MP312,Emalahleni,Mpumalanga,0.7723674163775435,0.9203357465690383,0.7703516723079571,0.9058624245102371,0.8287516104970503,0.8395337740523653
174,MP313,Steve Tshwete,Mpumalanga,0.8023736693992414,0.9082164642093739,0.7344161545215101,0.909270805096232,0.8562904530744336,0.8421135092601584
175,MP314,Emakhazeni,Mpumalanga,0.6799475128235715,0.8994747770856235,0.598580010922993,0.8815214597789771,0.8209170778673728,0.7760881676957075
176,MP315,Thembisile,Mpumalanga,0.5964585712274555,0.928545792175772,0.584121892542101,0.9052411728912789,0.8918487277689051,0.7812432313211026
177,MP316,Dr JS Moroka,Mpumalanga,0.4361433025472087,0.938325138410314,0.5865580448065173,0.9134141604138128,0.9199104540980759,0.7588702200551858
