,geo_code,name,total,less_1km,less_1km_Female,less_1km_Male,more_1km,more_1km_Female,more_1km_Male,No_piped_water,No_piped_water_Female,No_piped_water_Male,On_site,On_site_Female,On_site_Male,province
0,ZA,South Africa,10102512,1781894,890187,891707,104102,52985,51117,1133335,570698,562637,7083181,3568653,3514528,South Africa
1,WC044,George,33541,1887,985,902,24,16,8,914,477,437,30716,15507,15209,Western Cape
2,WC047,Bitou,7835,989,483,506,45,21,24,64,33,31,6737,3407,3330,Western Cape
3,WC048,Knysna,10848,1920,1042,878,9,5,4,167,78,89,8752,4423,4329,Western Cape
4,WC051,Laingsburg,1235,22,6,16,0,0,0,13,3,10,1200,606,594,Western Cape
5,WC052,Prince Albert,2247,87,51,36,1,1,0,10,5,5,2149,1043,1106,Western Cape
6,WC053,Beaufort West,8241,146,70,76,47,26,21,38,8,30,8010,4023,3987,Western Cape
7,MP303,Mkhondo,30833,5845,2988,2857,463,249,214,7424,3737,3687,17101,8716,8385,Mpumalanga
8,MP311,Victor Khanye,13606,1323,636,687,44,24,20,486,224,262,11753,5669,6084,Mpumalanga
9,MP322,Mbombela,126782,14647,7431,7216,1527,807,720,28109,14401,13708,82499,42394,40105,North West
10,NW373,Rustenburg,96543,6988,3108,3880,865,334,531,5417,2362,3055,83273,40595,42678,North West
11,NW384,Ditsobotla,30019,6782,3445,3337,147,71,76,3425,1712,1713,19665,9865,9800,North West
12,NW396,Lekwa-Teemane,9793,155,85,70,0,0,0,99,42,57,9539,4655,4884,Northern Cape
13,NC062,Nama Khoi,7978,33,16,17,2,0,2,77,27,50,7866,3881,3985,Northern Cape
14,NC071,Ubuntu,3100,165,89,76,1,1,0,19,9,10,2915,1434,1481,Northern Cape
