,geo_code,name,province,total,0-14,15-24,25-34,35-44,45-54,55-64
98,KZN266,Ulundi,KwaZulu-Natal,179765,0.3939309654270854,0.2268405974466665,0.12420660306511279,0.08056629488498873,0.0727505354212444,0.05135593691764248
99,KZN272,Jozini,KwaZulu-Natal,177892,0.4090684235378769,0.2338891012524453,0.12588536865064195,0.08455692217750095,0.06522496795808692,0.03882130731005329
100,KZN273,The Big 5 False Bay,KwaZulu-Natal,33398,0.372357626205162,0.22474399664650577,0.14908078328043595,0.09410743158272951,0.06931552787592071,0.04416432121683933
101,KZN274,Hlabisa,KwaZulu-Natal,68550,0.40407002188183805,0.23574033552151713,0.11431072210065646,0.07578409919766593,0.06774617067833698,0.049919766593727204
102,KZN275,Mtubatuba,KwaZulu-Natal,165859,0.38802235633881793,0.22662020149645182,0.13726116761827817,0.08630222056083782,0.0696736384519381,0.044043434483507074
103,KZN281,Mfolozi,KwaZulu-Natal,117818,0.3547081091174523,0.22447334023663618,0.15800641667656895,0.09149705477940552,0.07587974672800421,0.047199918518392774
104,KZN283,Ntambanana,KwaZulu-Natal,70937,0.38184586323075403,0.23463072867473955,0.12444845426223268,0.07828072796988877,0.07629304876157718,0.050044405599334624
105,KZN284,uMlalazi,KwaZulu-Natal,205191,0.3663269831522825,0.22160816020195817,0.12505421777758283,0.08857600966904007,0.07632401031234314,0.06158652182600601
106,KZN285,Mthonjaneni,KwaZulu-Natal,45464,0.37682562027098365,0.2137515396797466,0.1379113144465951,0.09029121942635931,0.07825972197782861,0.051777230336090094
107,KZN286,Nkandla,KwaZulu-Natal,110404,0.3969421397775443,0.2249284446215717,0.1063729575015398,0.0742092677801529,0.0701061555740734,0.06139270316292888
108,KZN291,Mandeni,KwaZulu-Natal,132865,0.3314266360591578,0.22085575584239642,0.16758363752681293,0.1088473262333948,0.07856094532043804,0.05071312986866368
109,KZN293,Ndwedwe,KwaZulu-Natal,135396,0.36667996100327926,0.21940086856332536,0.12050577565068392,0.08438949451977902,0.07918993175573873,0.06523087831250554
110,KZN294,Maphumulo,KwaZulu-Natal,94203,0.40159018290287996,0.2208740698279248,0.097894971497723,0.07346899780261774,0.07044361644533613,0.06550746791503455
111,KZN431,Ingwe,KwaZulu-Natal,98366,0.39550251103023404,0.21270560966187504,0.11823190939958929,0.08641197161620885,0.07345017587377753,0.05959376207226074
112,KZN432,Kwa Sani,KwaZulu-Natal,12403,0.2473595097960171,0.18455212448601144,0.2087398210110457,0.1461743126662904,0.09247762638071434,0.06570990889300976
113,KZN434,Ubuhlebezwe,KwaZulu-Natal,98930,0.37100980491256447,0.21426260992621046,0.12298594966137673,0.09043768321035076,0.08081471747700394,0.0638936621853836
114,KZN435,Umzimkhulu,Limpopo,176826,0.4061167475371269,0.22368882404171334,0.10910160270548448,0.07864228111250608,0.06940721387126328,0.054449006367841835
115,LIM331,Greater Giyani,Limpopo,244029,0.367452229038352,0.23644730749214232,0.12918956353548144,0.0911449049088428,0.07173737547586558,0.04403984772301653
116,LIM332,Greater Letaba,Limpopo,211055,0.34445049868517685,0.23765369216554927,0.12667314207197175,0.09389021818957144,0.0731136433631044,0.05175902016062164
117,LIM333,Greater Tzaneen,Limpopo,385060,0.3165402794369709,0.21539240637822676,0.15234249207915648,0.11396146055160235,0.08636835817794629,0.055118682802680105
118,LIM335,Maruleng,Limpopo,93585,0.34386920980926433,0.22301650905593845,0.1457071111823476,0.10358497622482235,0.07827109045252978,0.05005075599722178
119,LIM341,Musina,Limpopo,62316,0.2663360934591437,0.2085820656011297,0.24194428397201362,0.1447782271005841,0.07083253097117916,0.03737402914179344
120,LIM342,Mutale,Limpopo,92008,0.3810429527867142,0.2243609251369446,0.12264150943396226,0.09235066515955134,0.07029823493609251,0.04231153812711938
121,LIM343,Thulamela,Limpopo,615440,0.34877810997010267,0.23470037696607304,0.13353373196412324,0.09711588457038867,0.07517548420642142,0.04707688808007279
122,LIM344,Makhado,Limpopo,513419,0.34666033006180136,0.21470767540741578,0.13186500694364642,0.10148241494763537,0.0788361942195361,0.051421938027225327
123,LIM351,Blouberg,Limpopo,161035,0.3877728444127053,0.2273605116900053,0.10351165895612754,0.08151023069519049,0.06900984258080542,0.05399447325115658
124,LIM353,Molemole,Limpopo,107273,0.3536211348615215,0.2188435114148015,0.11935901857876632,0.09266078137089483,0.07633794151370801,0.0590362905857019
125,LIM354,Polokwane,Limpopo,618747,0.2945824383794992,0.22124551714998214,0.17118628453956142,0.12113190043749707,0.08442869217951764,0.05358894669388296
126,LIM355,Lepele-Nkumpi,Limpopo,228732,0.35535473829634684,0.21042092929716874,0.11887711382753616,0.09429813056327929,0.07945106062990749,0.059156567511323296
127,LIM361,Thabazimbi,Limpopo,81141,0.19402028567555243,0.16547737888367164,0.25677524309535255,0.17623642794641425,0.12733390024771693,0.053795245313713165
128,LIM362,Lephalale,Limpopo,111441,0.2541075546701842,0.21667967803591137,0.21645534408341632,0.1260397878698145,0.0903258226326038,0.0526287452553369
129,LIM365,Modimolle,Limpopo,65008,0.2882875953728772,0.19285318730002463,0.18190068914595126,0.1344142259414226,0.08837373861678563,0.05451636721634261
130,LIM366,Bela-Bela,Eastern Cape,62940,0.26434699714013343,0.18762313314267556,0.1815220845249444,0.1357642198919606,0.09968223705115983,0.06620591039084843
131,BUF,Buffalo City,Eastern Cape,750216,0.2659300788039711,0.18979067361933097,0.16530572528445142,0.13215127376648858,0.11310475916269448,0.0721165637629696
132,EC101,Camdeboo,Eastern Cape,49442,0.29394037458031635,0.18797783261194936,0.13793940374580316,0.12432749484244165,0.10751992233323894,0.07596780065531329
133,EC105,Ndlambe,Eastern Cape,61147,0.2530786465403045,0.15932098058776392,0.14833107102556134,0.1340703550460366,0.11593373346198506,0.08682355634781755
134,EC122,Mnquma,Eastern Cape,248363,0.34710081614411165,0.20923809101999896,0.10019205759311975,0.08275789872082395,0.08991274867834581,0.07797457753369061
135,EC128,Nxuba,Eastern Cape,24138,0.29737343607589695,0.17433093048305576,0.13012677106636839,0.11624823929074489,0.11106968265804955,0.08277404921700224
136,EC135,Intsika Yethu,Eastern Cape,143284,0.3654909131515033,0.19087267245470535,0.08894224058513163,0.07649842271293375,0.09017057033583652,0.08445464950727227
137,EC144,Gariep,Eastern Cape,33458,0.31570924741466916,0.1780441150098631,0.14412098750672486,0.1162651682706677,0.10218781756231693,0.07609540319206169
138,EC157,King Sabata Dalindyebo,Eastern Cape,439933,0.35166263953829335,0.24044115808543573,0.13286341329247864,0.09294597131835984,0.07541148311220118,0.05379455507997809
139,NMA,Nelson Mandela Bay,Eastern Cape,1147424,0.25482820648687843,0.18643239116490504,0.1644030454304599,0.13740256435284603,0.1170369453663162,0.07835725939147167
140,FS164,Naledi,Free State,24185,0.3264833574529667,0.19801529873888774,0.14298118668596238,0.11023361587761009,0.08240645027909861,0.07062228654124457
141,FS191,Setsoto,Free State,111681,0.32325104538820393,0.19481380001969897,0.15384890894601588,0.11328695122715592,0.0893348018015598,0.06612584056374854
142,FS196,Mantsopa,Free State,50420,0.3197738992463308,0.19426814756049188,0.15589051963506545,0.1145973819912733,0.09180880602935343,0.06802856009520032
143,MAN,Mangaung,Free State,739678,0.27118692187681664,0.20657502318576462,0.17239122969724663,0.13175733224457128,0.09953790703522343,0.0640251568925938
144,EKU,Ekurhuleni,Gauteng,3137917,0.24443508225360963,0.18103028219038297,0.22208522405149658,0.1525193304985441,0.09986338070764778,0.059553837784747016
145,GT422,Midvaal,Gauteng,94131,0.23135842602330794,0.16870106553632702,0.18218227788932445,0.1544230912239326,0.11616789368008414,0.08184338846926092
